instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange,signal_1,signal_2
2883073,11262,IGL,INDRAPRASTHA GAS,0,,0,0.05,1,EQ,NSE,NSE,0.5729032258064518,0.15789473684210525
3431425,13404,SUNTV,SUN TV NETWORK,0,,0,0.05,1,EQ,NSE,NSE,0.5720430107526883,0.47368421052631576
3001089,11723,JSWSTEEL,JSW STEEL,0,,0,0.05,1,EQ,NSE,NSE,0.5711827956989247,0.2631578947368421
163073,637,CHAMBLFERT,CHAMBAL FERTILIZERS,0,,0,0.05,1,EQ,NSE,NSE,0.5703225806451614,0.3157894736842105
1041153,4067,MARICO,MARICO,0,,0,0.05,1,EQ,NSE,NSE,0.5703225806451614,0.15789473684210525
41729,163,APOLLOTYRE,APOLLO TYRES,0,,0,0.05,1,EQ,NSE,NSE,0.5703225806451612,0.3157894736842105
359937,1406,HINDPETRO,HINDUSTAN PETROLEUM CORP,0,,0,0.05,1,EQ,NSE,NSE,0.5694623655913978,0.21052631578947367
1207553,4717,GAIL,GAIL (INDIA),0,,0,0.05,1,EQ,NSE,NSE,0.5694623655913978,0.2631578947368421
5582849,21808,SBILIFE,SBI LIFE INSURANCE CO,0,,0,0.05,1,EQ,NSE,NSE,0.5694623655913978,0.21052631578947367
2889473,11287,UPL,UPL,0,,0,0.05,1,EQ,NSE,NSE,0.5694623655913978,0.0
6386689,24948,L&TFH,L&T FINANCE HOLDINGS,0,,0,0.05,1,EQ,NSE,NSE,0.5686021505376346,0.21052631578947367
5215745,20374,COALINDIA,COAL INDIA,0,,0,0.05,1,EQ,NSE,NSE,0.5686021505376345,0.2631578947368421
758529,2963,SAIL,STEEL AUTHORITY OF INDIA,0,,0,0.05,1,EQ,NSE,NSE,0.5686021505376344,0.21052631578947367
3834113,14977,POWERGRID,POWER GRID CORP..,0,,0,0.05,1,EQ,NSE,NSE,0.5686021505376344,0.21052631578947367
1850625,7229,HCLTECH,HCL TECHNOLOGIES,0,,0,0.05,1,EQ,NSE,NSE,0.567741935483871,0.3157894736842105
134657,526,BPCL,BHARAT PETROLEUM CORP  LT,0,,0,0.05,1,EQ,NSE,NSE,0.567741935483871,0.21052631578947367
197633,772,DABUR,DABUR INDIA,0,,0,0.05,1,EQ,NSE,NSE,0.567741935483871,0.2631578947368421
103425,404,BERGEPAINT,BERGER PAINTS (I),0,,0,0.05,1,EQ,NSE,NSE,0.5668817204301075,0.3157894736842105
2672641,10440,LUPIN,LUPIN,0,,0,0.05,1,EQ,NSE,NSE,0.5660215053763441,0.3684210526315789
2622209,10243,SYNGENE,SYNGENE INTERNATIONAL,0,,0,0.05,1,EQ,NSE,NSE,0.5660215053763441,0.21052631578947367
418049,1633,IPCALAB,IPCA LABORATORIES,0,,0,0.05,1,EQ,NSE,NSE,0.5643010752688172,0.15789473684210525
617473,2412,PEL,PIRAMAL ENTERPRISES,0,,0,0.05,1,EQ,NSE,NSE,0.5643010752688171,0.21052631578947367
1195009,4668,BANKBARODA,BANK OF BARODA,0,,0,0.05,1,EQ,NSE,NSE,0.5625806451612904,0.2631578947368421
3400961,13285,M&MFIN,M&M FIN. SERVICES,0,,0,0.05,1,EQ,NSE,NSE,0.5625806451612902,0.21052631578947367
2955009,11543,COFORGE,COFORGE,0,,0,0.05,1,EQ,NSE,NSE,0.5625806451612902,0.3684210526315789
5573121,21770,ICICIGI,ICICI LOMBARD GIC,0,,0,0.05,1,EQ,NSE,NSE,0.5625806451612902,0.3157894736842105
5105409,19943,DEEPAKNTR,DEEPAK NITRITE,0,,0,0.05,1,EQ,NSE,NSE,0.5608602150537636,0.2631578947368421
67329,263,ATUL,ATUL,0,,0,0.05,1,EQ,NSE,NSE,0.5608602150537635,0.21052631578947367
424961,1660,ITC,ITC,0,,0,0.05,1,EQ,NSE,NSE,0.5599999999999999,0.15789473684210525
5533185,21614,ABCAPITAL,ADITYA BIRLA CAPITAL.,0,,0,0.05,1,EQ,NSE,NSE,0.5599999999999999,0.2631578947368421
232961,910,EICHERMOT,EICHER MOTORS,0,,0,0.05,1,EQ,NSE,NSE,0.5599999999999999,0.21052631578947367
969473,3787,WIPRO,WIPRO,0,,0,0.05,1,EQ,NSE,NSE,0.5582795698924731,0.0
