instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange,signal_1,signal_2,signal_1_7d,signal_2_7d,signal_3_7d,signal_3_31d
356865,1394,HINDUNILVR,HINDUSTAN UNILEVER.,0,,0,0.05,1,EQ,NSE,NSE,0.596989247311828,0.42105263157894735,0.4685714285714286,1.0,0.49226707813453247,-0.11971089938095698
85761,335,BALKRISIND,BALKRISHNA IND.,0,,0,0.05,1,EQ,NSE,NSE,0.6021505376344086,0.42105263157894735,0.4342857142857143,0.6666666666666666,0.2407423687423649,-0.12178897031646617
4268801,16675,BAJAJFINSV,BAJAJ FINSERV.,0,,0,0.05,1,EQ,NSE,NSE,0.5479569892473118,0.21052631578947367,0.39999999999999997,0.3333333333333333,0.5848499676632422,-0.12223207609113737
3756033,14672,NAVINFLUOR,NAVIN FLUORINE INT.,0,,0,0.05,1,EQ,NSE,NSE,0.5858064516129033,0.3684210526315789,0.4038095238095238,0.3333333333333333,-0.15609812979822846,-0.12361528482806425
4598529,17963,NESTLEIND,NESTLE INDIA,0,,0,0.05,1,EQ,NSE,NSE,0.6004301075268818,0.3684210526315789,0.4342857142857143,0.6666666666666666,0.2501642842456142,-0.12391688330125682
173057,676,EXIDEIND,EXIDE INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE,0.5772043010752687,0.3684210526315789,0.4114285714285714,0.3333333333333333,0.3225256010268949,-0.1328027907242008
2889473,11287,UPL,UPL,0,,0,0.05,1,EQ,NSE,NSE,0.5694623655913978,0.0,0.43047619047619046,0.3333333333333333,0.696724371385545,-0.1331908599266747
54273,212,ASHOKLEY,ASHOK LEYLAND,0,,0,0.05,1,EQ,NSE,NSE,0.5281720430107528,0.21052631578947367,0.36952380952380953,0.0,0.7295618247298638,-0.1381618444806267
5573121,21770,ICICIGI,ICICI LOMBARD GIC,0,,0,0.05,1,EQ,NSE,NSE,0.5625806451612902,0.3157894736842105,0.3885714285714285,0.3333333333333333,-0.48753983036098747,-0.14016353921564584
3365633,13147,PVRINOX,PVR INOX,0,,0,0.05,1,EQ,NSE,NSE,0.595268817204301,0.42105263157894735,0.4304761904761905,0.6666666666666666,0.359061114324246,-0.14232940582235387
103425,404,BERGEPAINT,BERGER PAINTS (I),0,,0,0.05,1,EQ,NSE,NSE,0.5668817204301075,0.3157894736842105,0.43809523809523815,0.6666666666666666,0.4901183000672685,-0.14412389779277665
3465729,13538,TECHM,TECH MAHINDRA,0,,0,0.05,1,EQ,NSE,NSE,0.5875268817204302,0.0,0.3923809523809524,0.0,-0.6516519609525604,-0.1523240478877955
197633,772,DABUR,DABUR INDIA,0,,0,0.05,1,EQ,NSE,NSE,0.567741935483871,0.2631578947368421,0.4038095238095238,0.3333333333333333,0.36547619047621005,-0.1698269467638732
3924993,15332,NMDC,NMDC.,0,,0,0.05,1,EQ,NSE,NSE,0.5875268817204301,0.42105263157894735,0.44190476190476197,0.6666666666666666,0.7547341517251851,-0.17846412556986144
2953217,11536,TCS,TATA CONSULTANCY SERV LT,0,,0,0.05,1,EQ,NSE,NSE,0.6038709677419355,0.5263157894736842,0.46095238095238095,1.0,0.6709002904750692,-0.18298519272965694
3691009,14418,ASTRAL,ASTRAL,0,,0,0.05,1,EQ,NSE,NSE,0.6021505376344086,0.47368421052631576,0.4342857142857143,0.6666666666666666,0.100415779493941,-0.18305619728060615
548353,2142,MFSL,MAX FINANCIAL SERV,0,,0,0.05,1,EQ,NSE,NSE,0.5995698924731182,0.3684210526315789,0.40761904761904766,0.3333333333333333,-0.3043766673877005,-0.1847075735019461
108033,422,BHARATFORG,BHARAT FORGE,0,,0,0.05,1,EQ,NSE,NSE,0.6012903225806452,0.5789473684210527,0.4571428571428572,1.0,0.44945926524623775,-0.1893849624848097
2745857,10726,INDIAMART,INDIAMART INTERMESH,0,,0,0.05,1,EQ,NSE,NSE,0.583225806451613,0.2631578947368421,0.43809523809523804,0.6666666666666666,0.2576576231202869,-0.1928681358949341
2585345,10099,GODREJCP,GODREJ CONSUMER PRODUCTS,0,,0,0.05,1,EQ,NSE,NSE,0.5995698924731184,0.5263157894736842,0.41904761904761906,0.3333333333333333,-0.14452714631528757,-0.19477369234643027
