instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange,signal_1_1d,signal_2_1d,signal_3_1d,signal_1_7d,signal_2_7d,signal_3_7d,signal_1_31d,signal_2_31d,signal_3_31d
548353,2142,MFSL,MAX FINANCIAL SERV,0,,0,0.05,1,EQ,NSE,NSE,0.819277108,0,-0.776223776,0.524658635,0.25,-0.415265778,0.625998186,0.35,-0.20974705
784129,3063,VEDL,VEDANTA,0,,0,0.05,1,EQ,NSE,NSE,0.819277108,0,-0.783505155,0.547515777,0.25,1.003542627,0.581267003,0.15,-0.096428873
197633,772,DABUR,DABUR INDIA,0,,0,0.05,1,EQ,NSE,NSE,0.939759036,0,-0.818181818,0.538060815,0.25,0.248593074,0.598056743,0.25,-0.196219909
952577,3721,TATACOMM,TATA COMMUNICATIONS,0,,0,0.05,1,EQ,NSE,NSE,0.795180723,0,-0.887323944,0.574549627,0.75,0.763747887,0.640704755,0.55,0.387390063
56321,220,IEX,INDIAN ENERGY EXC,0,,0,0.05,1,EQ,NSE,NSE,0.626506024,0,-0.888888889,0.493310384,0.5,0.702116402,0.553543205,0.2,-0.542234603
2815745,10999,MARUTI,MARUTI SUZUKI INDIA.,0,,0,0.05,1,EQ,NSE,NSE,0.722891566,0,-0.89244186,0.526127367,0.25,-0.312660123,0.645254567,0.4,0.251483153
837889,3273,SRF,SRF,0,,0,0.05,1,EQ,NSE,NSE,0.698795181,0,-0.924242424,0.55697074,0.25,0.473816547,0.646197694,0.5,-0.029757583
3834113,14977,POWERGRID,POWER GRID CORP..,0,,0,0.05,1,EQ,NSE,NSE,0.771084337,0,-1,0.521583477,0.25,0.114317025,0.593475839,0.2,0.108830015
2713345,10599,GUJGASLTD,GUJARAT GAS,0,,0,0.05,1,EQ,NSE,NSE,0.915662651,0,-1.023809524,0.557475617,0.5,-0.11517295,0.606741806,0.35,-0.116419954
41729,163,APOLLOTYRE,APOLLO TYRES,0,,0,0.05,1,EQ,NSE,NSE,0.746987952,0,-1.03125,0.47242685,0,0.005948575,0.594418966,0.3,-0.414734669
582913,2277,MRF,MRF,0,,0,0.05,1,EQ,NSE,NSE,0.819277108,0,-1.031498471,0.528468158,0.25,0.06264013,0.60449281,0.25,-0.627739542
